dataset,layer,hook_point,probe_type,accuracy,precision,recall,f1,confidence,num_samples
validation,0,blocks.0.hook_resid_post,logistic,0.5203251838684082,0.0,0.0,0.0,4.6345488158294756e-07,123
validation,1,blocks.1.hook_resid_post,logistic,0.5528454780578613,1.0,0.06779661029577255,0.1269841343164444,0.09151078760623932,123
validation,5,blocks.5.hook_resid_post,logistic,0.5934959053993225,1.0,0.1525423675775528,0.2647058665752411,0.14747820794582367,123
validation,10,blocks.10.hook_resid_post,logistic,0.9999999403953552,1.0,1.0,1.0,0.4711402654647827,123
validation,15,blocks.15.hook_resid_post,logistic,0.9999999403953552,1.0,1.0,1.0,0.4960837662220001,123
validation,19,blocks.19.hook_resid_post,logistic,0.9999999403953552,1.0,1.0,1.0,0.4481615424156189,123
validation,24,blocks.24.hook_resid_post,logistic,0.772357702255249,1.0,0.5254237055778503,0.6888888478279114,0.25864437222480774,123
validation,29,blocks.29.hook_resid_post,logistic,0.9999999403953552,1.0,1.0,1.0,0.4689028859138489,123
validation,34,blocks.34.hook_resid_post,logistic,0.9999999403953552,1.0,1.0,1.0,0.4804883897304535,123
validation,35,blocks.35.hook_resid_post,logistic,0.9999999403953552,1.0,1.0,1.0,0.4843139350414276,123
test,0,blocks.0.hook_resid_post,logistic,0.013477088883519173,1.0,0.013477088883519173,0.026595745235681534,0.012865700758993626,371
test,1,blocks.1.hook_resid_post,logistic,0.04043126478791237,1.0,0.04043126851320267,0.07772020995616913,0.10512067377567291,371
test,5,blocks.5.hook_resid_post,logistic,0.6226415038108826,1.0,0.6226415038108826,0.7674418091773987,0.6075560450553894,371
test,10,blocks.10.hook_resid_post,logistic,0.9110512137413025,1.0,0.9110512137413025,0.9534555673599243,0.7922335267066956,371
test,15,blocks.15.hook_resid_post,logistic,0.8760107755661011,1.0,0.8760107755661011,0.9339080452919006,0.8148691654205322,371
test,19,blocks.19.hook_resid_post,logistic,0.2749326229095459,1.0,0.2749326229095459,0.4312896430492401,0.2973686754703522,371
test,24,blocks.24.hook_resid_post,logistic,0.7035040259361267,1.0,0.7035040259361267,0.8259493112564087,0.660332977771759,371
test,29,blocks.29.hook_resid_post,logistic,0.9946091175079346,1.0,0.9946091771125793,0.9972973465919495,0.9893527030944824,371
test,34,blocks.34.hook_resid_post,logistic,0.9595687389373779,1.0,0.9595687389373779,0.9793672561645508,0.8796579241752625,371
test,35,blocks.35.hook_resid_post,logistic,0.9973045587539673,1.0,0.9973045587539673,0.9986504316329956,0.9836868047714233,371
