dataset,layer,hook_point,probe_type,accuracy,precision,recall,f1,confidence,num_samples
validation,0,blocks.0.hook_resid_post,logistic,0.5203251838684082,0.0,0.0,0.0,0.00023610577045474201,123
validation,1,blocks.1.hook_resid_post,logistic,0.5284552574157715,1.0,0.016949152573943138,0.03333333134651184,0.031214825809001923,123
validation,4,blocks.4.hook_resid_post,logistic,0.9918698668479919,1.0,0.9830508232116699,0.9914529919624329,0.43401941657066345,123
validation,7,blocks.7.hook_resid_post,logistic,0.9999999403953552,1.0,1.0,1.0,0.4731270670890808,123
validation,10,blocks.10.hook_resid_post,logistic,0.9186991453170776,0.8550724387168884,1.0,0.9218749403953552,0.614444375038147,123
validation,13,blocks.13.hook_resid_post,logistic,0.9999999403953552,1.0,1.0,1.0,0.44366711378097534,123
validation,16,blocks.16.hook_resid_post,logistic,0.7642276287078857,0.6704545617103577,1.0,0.8027211427688599,0.7073667049407959,123
validation,19,blocks.19.hook_resid_post,logistic,0.6260162591934204,0.561904788017273,1.0,0.7195122241973877,0.8317656517028809,123
validation,22,blocks.22.hook_resid_post,logistic,0.4796747863292694,0.4796747863292694,1.0,0.6483516097068787,0.9940914511680603,123
validation,23,blocks.23.hook_resid_post,logistic,0.9837397933006287,0.9672130942344666,1.0,0.9833332896232605,0.5305513143539429,123
test,0,blocks.0.hook_resid_post,logistic,0.68733149766922,1.0,0.6873315572738647,0.8146964907646179,0.535678505897522,371
test,1,blocks.1.hook_resid_post,logistic,0.9568732976913452,1.0,0.9568732976913452,0.9779614210128784,0.89944988489151,371
test,4,blocks.4.hook_resid_post,logistic,0.671159029006958,1.0,0.671159029006958,0.8032258152961731,0.6137276291847229,371
test,7,blocks.7.hook_resid_post,logistic,0.9757412075996399,1.0,0.9757412672042847,0.9877216815948486,0.9719340205192566,371
test,10,blocks.10.hook_resid_post,logistic,0.9784366488456726,1.0,0.9784366488456726,0.9891007542610168,0.9648450613021851,371
test,13,blocks.13.hook_resid_post,logistic,0.08086252957582474,1.0,0.08086253702640533,0.14962594211101532,0.1270962357521057,371
test,16,blocks.16.hook_resid_post,logistic,0.9703503847122192,1.0,0.9703503847122192,0.9849520921707153,0.966412365436554,371
test,19,blocks.19.hook_resid_post,logistic,0.9649595618247986,1.0,0.9649595618247986,0.9821673035621643,0.9629794359207153,371
test,22,blocks.22.hook_resid_post,logistic,0.9919137358665466,1.0,0.9919137358665466,0.9959404468536377,0.9917713403701782,371
test,23,blocks.23.hook_resid_post,logistic,0.9191374182701111,1.0,0.9191374778747559,0.9578651785850525,0.8887753486633301,371
