train_datasets,test_dataset,layer,probe_type,accuracy,precision,recall,f1,auroc,confidence,num_samples
repe_honesty,validation,0,logistic,0.6780185758513931,0.652941176451384,0.7115384615156558,0.6809815900803569,0.5909143251957624,0.5314352727359554,646
repe_honesty,validation,1,logistic,0.653250773993808,0.6195652173744683,0.7307692307458087,0.6705882303083046,0.571568401658222,0.5535700398934773,646
repe_honesty,validation,26,logistic,0.7213622291021672,0.6823204419701017,0.7916666666412927,0.7329376804657083,0.7115240672501151,0.5553200980716557,646
repe_honesty,validation,27,logistic,0.7229102167182663,0.6842105262968362,0.7916666666412927,0.7340267409185104,0.7283941731920773,0.5539885490426601,646
repe_honesty,roleplaying,0,logistic,0.5074803928030054,0.5039055058103106,0.3520095821132322,0.4144793495410202,0.5101388280767449,0.3489494392776239,45519
repe_honesty,roleplaying,1,logistic,0.5015927414925635,0.4976134829979599,0.6706148522754544,0.5713043922296712,0.5025075831329279,0.6659672981791602,45519
repe_honesty,roleplaying,26,logistic,0.49480436740701683,0.4932343824509737,0.7341407151092475,0.5900452763276517,0.49685564677290267,0.7344176763566347,45519
repe_honesty,roleplaying,27,logistic,0.4928052022232474,0.4923029121824444,0.7731789548395115,0.6015704499876708,0.4872300772456231,0.7756080936172137,45519
